Item, Quantity, Function
Elegoo V4 Robot Kit, 1, 
9V Battery, 5, Power supply
Jumper Cables Ast., 50,
Carboard, 1, FPV Headset
LCD Screen, 1, Display the countdown
Tape Roll, 1, To isolate the cables
Elegoo UNO R3, 1, System Control
Arduino UNO R3, 1, Motor Control
Desoldering pump shell, 1, To prevent the exploaded capacitor to destroy other components
Capacitor, 1, simulate an explosion
IR Receiver, 1, receive signals
Alarm clock buzzer, 1, generate sounds
MG996R, 1, control the touret
Screw driver, 1, keeps the bowl in position



